event_id,timestamp_ms,event_type,station_id,unit_id,queue_length_after,previous_state,new_state,cycle_time_ms,dark_zone_id
EV000104,322250,PROCESSING_STARTED,S01,U000010,0,IDLE,PROCESSING,34375,
EV000105,341927,PROCESSING_COMPLETED,S04,U000005,1,PROCESSING,,45340,
EV000106,341927,UNIT_ARRIVED,S05,U000005,1,,,,
EV000107,341927,PROCESSING_STARTED,S04,U000006,0,IDLE,PROCESSING,29454,
EV000108,345314,PROCESSING_COMPLETED,S07,U000002,0,PROCESSING,,49745,
EV000109,345314,UNIT_ARRIVED,S08,U000002,1,,,,
EV000110,348592,PROCESSING_COMPLETED,S08,U000001,1,PROCESSING,,54669,
EV000111,348592,UNIT_ARRIVED,S09,U000001,1,,,,
EV000112,348592,PROCESSING_STARTED,S09,U000001,0,IDLE,PROCESSING,36113,
EV000113,348592,PROCESSING_STARTED,S08,U000002,0,IDLE,PROCESSING,58651,
EV000114,349382,PROCESSING_COMPLETED,S06,U000003,0,PROCESSING,,41375,
EV000115,349382,UNIT_ARRIVED,S07,U000003,1,,,,
EV000116,349382,PROCESSING_STARTED,S07,U000003,0,STARVED,PROCESSING,40629,
EV000117,350717,PROCESSING_COMPLETED,S02,U000008,1,PROCESSING,,41867,
EV000118,350717,UNIT_ARRIVED,S03,U000008,1,,,,
EV000119,350717,PROCESSING_STARTED,S02,U000009,0,IDLE,PROCESSING,37050,
EV000120,355423,PROCESSING_COMPLETED,S05,U000004,1,PROCESSING,,47416,
EV000121,355423,UNIT_ARRIVED,S06,U000004,1,,,,
EV000122,355423,PROCESSING_STARTED,S06,U000004,0,STARVED,PROCESSING,35979,
EV000123,355423,PROCESSING_STARTED,S05,U000005,0,IDLE,PROCESSING,38139,
EV000124,356625,PROCESSING_COMPLETED,S01,U000010,0,PROCESSING,,34375,
EV000125,356625,UNIT_ARRIVED,S02,U000010,1,,,,
EV000126,356625,PROCESSING_STARTED,S01,U000011,0,IDLE,PROCESSING,39809,
EV000127,358969,PROCESSING_COMPLETED,S03,U000007,1,PROCESSING,,40756,
EV000128,358969,UNIT_ARRIVED,S04,U000007,1,,,,
EV000129,358969,PROCESSING_STARTED,S03,U000008,0,IDLE,PROCESSING,40728,
EV000130,371381,PROCESSING_COMPLETED,S04,U000006,1,PROCESSING,,29454,
EV000131,371381,UNIT_ARRIVED,S05,U000006,1,,,,
EV000132,371381,PROCESSING_STARTED,S04,U000007,0,IDLE,PROCESSING,40582,
EV000133,384705,PROCESSING_COMPLETED,S09,U000001,0,PROCESSING,,36113,
EV000134,384705,UNIT_ARRIVED,S10,U000001,1,,,,
EV000135,384705,PROCESSING_STARTED,S10,U000001,0,IDLE,PROCESSING,52122,
EV000136,387767,PROCESSING_COMPLETED,S02,U000009,1,PROCESSING,,37050,
EV000137,387767,UNIT_ARRIVED,S03,U000009,1,,,,
EV000138,387767,PROCESSING_STARTED,S02,U000010,0,IDLE,PROCESSING,43417,
EV000139,390011,PROCESSING_COMPLETED,S07,U000003,0,PROCESSING,,40629,
EV000140,390011,UNIT_ARRIVED,S08,U000003,1,,,,
EV000141,391402,PROCESSING_COMPLETED,S06,U000004,0,PROCESSING,,35979,
EV000142,391402,UNIT_ARRIVED,S07,U000004,1,,,,
EV000143,391402,PROCESSING_STARTED,S07,U000004,0,STARVED,PROCESSING,45148,
EV000144,393562,PROCESSING_COMPLETED,S05,U000005,1,PROCESSING,,38139,
EV000145,393562,UNIT_ARRIVED,S06,U000005,1,,,,
EV000146,393562,PROCESSING_STARTED,S06,U000005,0,STARVED,PROCESSING,38392,
EV000147,393562,PROCESSING_STARTED,S05,U000006,0,IDLE,PROCESSING,40072,
EV000148,396434,PROCESSING_COMPLETED,S01,U000011,0,PROCESSING,,39809,
EV000149,396434,UNIT_ARRIVED,S02,U000011,1,,,,
EV000150,396434,PROCESSING_STARTED,S01,U000012,0,IDLE,PROCESSING,33043,
EV000151,399697,PROCESSING_COMPLETED,S03,U000008,1,PROCESSING,,40728,
EV000152,399697,UNIT_ARRIVED,S04,U000008,1,,,,
EV000153,399697,PROCESSING_STARTED,S03,U000009,0,IDLE,PROCESSING,36111,
EV000154,407243,PROCESSING_COMPLETED,S08,U000002,1,PROCESSING,,58651,
EV000155,407243,UNIT_ARRIVED,S09,U000002,1,,,,
EV000156,407243,PROCESSING_STARTED,S09,U000002,0,STARVED,PROCESSING,38752,
EV000157,407243,PROCESSING_STARTED,S08,U000003,0,IDLE,PROCESSING,55527,
EV000158,411963,PROCESSING_COMPLETED,S04,U000007,1,PROCESSING,,40582,
EV000159,411963,UNIT_ARRIVED,S05,U000007,1,,,,
EV000160,411963,PROCESSING_STARTED,S04,U000008,0,IDLE,PROCESSING,48462,
EV000161,429477,PROCESSING_COMPLETED,S01,U000012,0,PROCESSING,,33043,
EV000162,429477,UNIT_ARRIVED,S02,U000012,2,,,,
EV000163,429477,PROCESSING_STARTED,S01,U000013,0,IDLE,PROCESSING,31564,
EV000164,431184,PROCESSING_COMPLETED,S02,U000010,2,PROCESSING,,43417,
EV000165,431184,UNIT_ARRIVED,S03,U000010,1,,,,
EV000166,431184,PROCESSING_STARTED,S02,U000011,1,IDLE,PROCESSING,43080,
EV000167,431954,PROCESSING_COMPLETED,S06,U000005,0,PROCESSING,,38392,
EV000168,431954,UNIT_ARRIVED,S07,U000005,1,,,,
EV000169,433634,PROCESSING_COMPLETED,S05,U000006,1,PROCESSING,,40072,
EV000170,433634,UNIT_ARRIVED,S06,U000006,1,,,,
EV000171,433634,PROCESSING_STARTED,S06,U000006,0,STARVED,PROCESSING,37229,
EV000172,433634,PROCESSING_STARTED,S05,U000007,0,IDLE,PROCESSING,45669,
EV000173,435808,PROCESSING_COMPLETED,S03,U000009,1,PROCESSING,,36111,
EV000174,435808,UNIT_ARRIVED,S04,U000009,1,,,,
EV000175,435808,PROCESSING_STARTED,S03,U000010,0,IDLE,PROCESSING,42143,
EV000176,436550,PROCESSING_COMPLETED,S07,U000004,1,PROCESSING,,45148,
EV000177,436550,UNIT_ARRIVED,S08,U000004,1,,,,
EV000178,436550,PROCESSING_STARTED,S07,U000005,0,IDLE,PROCESSING,46221,
EV000179,436827,PROCESSING_COMPLETED,S10,U000001,0,PROCESSING,,52122,
EV000180,436827,UNIT_ARRIVED,S11,U000001,1,,,,
EV000181,436827,PROCESSING_STARTED,S11,U000001,0,IDLE,PROCESSING,38322,
EV000182,445995,PROCESSING_COMPLETED,S09,U000002,0,PROCESSING,,38752,
EV000183,445995,UNIT_ARRIVED,S10,U000002,1,,,,
EV000184,445995,PROCESSING_STARTED,S10,U000002,0,STARVED,PROCESSING,47848,
EV000185,460425,PROCESSING_COMPLETED,S04,U000008,1,PROCESSING,,48462,
EV000186,460425,UNIT_ARRIVED,S05,U000008,1,,,,
EV000187,460425,PROCESSING_STARTED,S04,U000009,0,IDLE,PROCESSING,49559,
EV000188,461041,PROCESSING_COMPLETED,S01,U000013,0,PROCESSING,,31564,
EV000189,461041,UNIT_ARRIVED,S02,U000013,2,,,,
EV000190,461041,PROCESSING_STARTED,S01,U000014,0,IDLE,PROCESSING,37034,
EV000191,462770,PROCESSING_COMPLETED,S08,U000003,1,PROCESSING,,55527,
EV000192,462770,UNIT_ARRIVED,S09,U000003,1,,,,
EV000193,462770,PROCESSING_STARTED,S09,U000003,0,STARVED,PROCESSING,48058,
EV000194,462770,PROCESSING_STARTED,S08,U000004,0,IDLE,PROCESSING,47877,
EV000195,470863,PROCESSING_COMPLETED,S06,U000006,0,PROCESSING,,37229,
EV000196,470863,UNIT_ARRIVED,S07,U000006,1,,,,
EV000197,474264,PROCESSING_COMPLETED,S02,U000011,2,PROCESSING,,43080,
EV000198,474264,UNIT_ARRIVED,S03,U000011,1,,,,
EV000199,474264,PROCESSING_STARTED,S02,U000012,1,IDLE,PROCESSING,38911,
EV000200,475149,PROCESSING_COMPLETED,S11,U000001,0,PROCESSING,,38322,
EV000201,475149,DARK_ZONE_ENTERED,S12,U000001,1,,,,DZ_BODY_01
EV000202,477951,PROCESSING_COMPLETED,S03,U000010,1,PROCESSING,,42143,
EV000203,477951,UNIT_ARRIVED,S04,U000010,1,,,,
EV000204,477951,PROCESSING_STARTED,S03,U000011,0,IDLE,PROCESSING,43543,
EV000205,479303,PROCESSING_COMPLETED,S05,U000007,1,PROCESSING,,45669,
EV000206,479303,UNIT_ARRIVED,S06,U000007,1,,,,
EV000207,479303,PROCESSING_STARTED,S06,U000007,0,STARVED,PROCESSING,39040,
EV000208,479303,PROCESSING_STARTED,S05,U000008,0,IDLE,PROCESSING,46929,
EV000209,482771,PROCESSING_COMPLETED,S07,U000005,1,PROCESSING,,46221,
EV000210,482771,UNIT_ARRIVED,S08,U000005,1,,,,
EV000211,482771,PROCESSING_STARTED,S07,U000006,0,IDLE,PROCESSING,53940,
EV000212,493843,PROCESSING_COMPLETED,S10,U000002,0,PROCESSING,,47848,
EV000213,493843,UNIT_ARRIVED,S11,U000002,1,,,,
EV000214,493843,PROCESSING_STARTED,S11,U000002,0,STARVED,PROCESSING,43018,
EV000215,498075,PROCESSING_COMPLETED,S01,U000014,0,PROCESSING,,37034,
EV000216,498075,UNIT_ARRIVED,S02,U000014,2,,,,
EV000217,498075,PROCESSING_STARTED,S01,U000015,0,IDLE,PROCESSING,35033,
EV000218,509984,PROCESSING_COMPLETED,S04,U000009,1,PROCESSING,,49559,
EV000219,509984,UNIT_ARRIVED,S05,U000009,1,,,,
EV000220,509984,PROCESSING_STARTED,S04,U000010,0,IDLE,PROCESSING,44226,
EV000221,510647,PROCESSING_COMPLETED,S08,U000004,1,PROCESSING,,47877,
EV000222,510647,UNIT_ARRIVED,S09,U000004,1,,,,
EV000223,510647,PROCESSING_STARTED,S08,U000005,0,IDLE,PROCESSING,61686,
EV000224,510828,PROCESSING_COMPLETED,S09,U000003,1,PROCESSING,,48058,
EV000225,510828,UNIT_ARRIVED,S10,U000003,1,,,,
EV000226,510828,PROCESSING_STARTED,S10,U000003,0,STARVED,PROCESSING,57666,
EV000227,510828,PROCESSING_STARTED,S09,U000004,0,IDLE,PROCESSING,37998,
EV000228,513175,PROCESSING_COMPLETED,S02,U000012,2,PROCESSING,,38911,
EV000229,513175,UNIT_ARRIVED,S03,U000012,1,,,,
EV000230,513175,PROCESSING_STARTED,S02,U000013,1,IDLE,PROCESSING,41083,
EV000231,518343,PROCESSING_COMPLETED,S06,U000007,0,PROCESSING,,39040,
EV000232,518343,UNIT_ARRIVED,S07,U000007,1,,,,
EV000233,521494,PROCESSING_COMPLETED,S03,U000011,1,PROCESSING,,43543,
EV000234,521494,UNIT_ARRIVED,S04,U000011,1,,,,
EV000235,521494,PROCESSING_STARTED,S03,U000012,0,IDLE,PROCESSING,44054,
EV000236,526232,PROCESSING_COMPLETED,S05,U000008,1,PROCESSING,,46929,
EV000237,526232,UNIT_ARRIVED,S06,U000008,1,,,,
EV000238,526232,PROCESSING_STARTED,S06,U000008,0,STARVED,PROCESSING,41411,
EV000239,526232,PROCESSING_STARTED,S05,U000009,0,IDLE,PROCESSING,50274,
EV000240,533108,PROCESSING_COMPLETED,S01,U000015,0,PROCESSING,,35033,
EV000241,533108,UNIT_ARRIVED,S02,U000015,2,,,,
EV000242,533108,PROCESSING_STARTED,S01,U000016,0,IDLE,PROCESSING,34558,
EV000243,536711,PROCESSING_COMPLETED,S07,U000006,1,PROCESSING,,53940,
EV000244,536711,UNIT_ARRIVED,S08,U000006,1,,,,
EV000245,536711,PROCESSING_STARTED,S07,U000007,0,IDLE,PROCESSING,57190,
EV000246,536861,PROCESSING_COMPLETED,S11,U000002,0,PROCESSING,,43018,
EV000247,536861,DARK_ZONE_ENTERED,S12,U000002,1,,,,DZ_BODY_01
EV000248,548826,PROCESSING_COMPLETED,S09,U000004,0,PROCESSING,,37998,
EV000249,548826,UNIT_ARRIVED,S10,U000004,1,,,,
EV000250,554210,PROCESSING_COMPLETED,S04,U000010,1,PROCESSING,,44226,
EV000251,554210,UNIT_ARRIVED,S05,U000010,1,,,,
EV000252,554210,PROCESSING_STARTED,S04,U000011,0,IDLE,PROCESSING,45681,
EV000253,554258,PROCESSING_COMPLETED,S02,U000013,2,PROCESSING,,41083,
EV000254,554258,UNIT_ARRIVED,S03,U000013,1,,,,
EV000255,554258,PROCESSING_STARTED,S02,U000014,1,IDLE,PROCESSING,34997,
EV000256,565548,PROCESSING_COMPLETED,S03,U000012,1,PROCESSING,,44054,
EV000257,565548,UNIT_ARRIVED,S04,U000012,1,,,,
EV000258,565548,PROCESSING_STARTED,S03,U000013,0,IDLE,PROCESSING,33474,
EV000259,567643,PROCESSING_COMPLETED,S06,U000008,0,PROCESSING,,41411,
EV000260,567643,UNIT_ARRIVED,S07,U000008,1,,,,
EV000261,567666,PROCESSING_COMPLETED,S01,U000016,0,PROCESSING,,34558,
EV000262,567666,UNIT_ARRIVED,S02,U000016,2,,,,
EV000263,567666,PROCESSING_STARTED,S01,U000017,0,IDLE,PROCESSING,38798,
EV000264,568494,PROCESSING_COMPLETED,S10,U000003,1,PROCESSING,,57666,
EV000265,568494,UNIT_ARRIVED,S11,U000003,1,,,,
EV000266,568494,PROCESSING_STARTED,S11,U000003,0,STARVED,PROCESSING,37109,
EV000267,568494,PROCESSING_STARTED,S10,U000004,0,IDLE,PROCESSING,51895,
EV000268,572333,PROCESSING_COMPLETED,S08,U000005,1,PROCESSING,,61686,
EV000269,572333,UNIT_ARRIVED,S09,U000005,1,,,,
EV000270,572333,PROCESSING_STARTED,S09,U000005,0,STARVED,PROCESSING,40445,
EV000271,572333,PROCESSING_STARTED,S08,U000006,0,IDLE,PROCESSING,48632,
EV000272,576506,PROCESSING_COMPLETED,S05,U000009,1,PROCESSING,,50274,
EV000273,576506,UNIT_ARRIVED,S06,U000009,1,,,,
EV000274,576506,PROCESSING_STARTED,S06,U000009,0,STARVED,PROCESSING,32163,
EV000275,576506,PROCESSING_STARTED,S05,U000010,0,IDLE,PROCESSING,44971,
EV000276,589255,PROCESSING_COMPLETED,S02,U000014,2,PROCESSING,,34997,
EV000277,589255,UNIT_ARRIVED,S03,U000014,1,,,,
EV000278,589255,PROCESSING_STARTED,S02,U000015,1,IDLE,PROCESSING,31047,
EV000279,593901,PROCESSING_COMPLETED,S07,U000007,1,PROCESSING,,57190,
EV000280,593901,UNIT_ARRIVED,S08,U000007,1,,,,
EV000281,593901,PROCESSING_STARTED,S07,U000008,0,IDLE,PROCESSING,38394,
EV000282,599022,PROCESSING_COMPLETED,S03,U000013,1,PROCESSING,,33474,
EV000283,599022,UNIT_ARRIVED,S04,U000013,2,,,,
EV000284,599022,PROCESSING_STARTED,S03,U000014,0,IDLE,PROCESSING,44617,
EV000285,599891,PROCESSING_COMPLETED,S04,U000011,2,PROCESSING,,45681,
EV000286,599891,UNIT_ARRIVED,S05,U000011,1,,,,
EV000287,599891,PROCESSING_STARTED,S04,U000012,1,IDLE,PROCESSING,39129,
