sequence,timestamp_ms,record_type,event_id,event_type,station_id,unit_id,queue_length_after,previous_state,new_state,cycle_time_ms,dark_zone_id,checkpoint_id,sensor_type,sensor_value,sensor_unit,check_type,check_result
65,0,SENSOR,,SENSOR_READING,S10,,,,,,,,TEMPERATURE,39.9457,C,,
66,0,SENSOR,,SENSOR_READING,S23,,,,,,,,VIBRATION,0.237605,g,,
67,0,SENSOR,,SENSOR_READING,S23,,,,,,,,TEMPERATURE,39.9312,C,,
68,0,SENSOR,,SENSOR_READING,S23,,,,,,,,CURRENT,2.14004,A,,
69,0,SENSOR,,SENSOR_READING,S23,,,,,,,,TORQUE,12.6056,Nm,,
70,0,SENSOR,,SENSOR_READING,S22,,,,,,,,VIBRATION,0.171533,g,,
71,0,SENSOR,,SENSOR_READING,S22,,,,,,,,TEMPERATURE,39.8271,C,,
72,0,SENSOR,,SENSOR_READING,S22,,,,,,,,CURRENT,2.22426,A,,
73,0,SENSOR,,SENSOR_READING,S22,,,,,,,,TORQUE,12.4577,Nm,,
74,0,SENSOR,,SENSOR_READING,S07,,,,,,,,VIBRATION,0.141681,g,,
75,0,SENSOR,,SENSOR_READING,S07,,,,,,,,TEMPERATURE,39.7362,C,,
76,0,SENSOR,,SENSOR_READING,S07,,,,,,,,CURRENT,2.03245,A,,
77,0,SENSOR,,SENSOR_READING,S07,,,,,,,,TORQUE,12.6026,Nm,,
78,0,SENSOR,,SENSOR_READING,S09,,,,,,,,VIBRATION,0.156378,g,,
79,0,SENSOR,,SENSOR_READING,S09,,,,,,,,TEMPERATURE,39.7334,C,,
80,0,SENSOR,,SENSOR_READING,S21,,,,,,,,VIBRATION,0.191928,g,,
81,0,SENSOR,,SENSOR_READING,S21,,,,,,,,TEMPERATURE,39.843,C,,
82,0,SENSOR,,SENSOR_READING,S20,,,,,,,,VIBRATION,0.201331,g,,
83,0,SENSOR,,SENSOR_READING,S20,,,,,,,,TEMPERATURE,39.9403,C,,
84,0,SENSOR,,SENSOR_READING,S20,,,,,,,,CURRENT,2.35809,A,,
85,0,SENSOR,,SENSOR_READING,S20,,,,,,,,TORQUE,12.6117,Nm,,
86,0,SENSOR,,SENSOR_READING,S17,,,,,,,,VIBRATION,0.175884,g,,
87,0,SENSOR,,SENSOR_READING,S17,,,,,,,,TEMPERATURE,39.9419,C,,
88,0,SENSOR,,SENSOR_READING,S17,,,,,,,,CURRENT,2.04476,A,,
89,0,SENSOR,,SENSOR_READING,S17,,,,,,,,TORQUE,12.7039,Nm,,
90,0,SENSOR,,SENSOR_READING,S19,,,,,,,,VIBRATION,0.161735,g,,
91,0,SENSOR,,SENSOR_READING,S19,,,,,,,,TEMPERATURE,40.0046,C,,
92,0,SENSOR,,SENSOR_READING,S19,,,,,,,,CURRENT,2.31358,A,,
93,0,SENSOR,,SENSOR_READING,S19,,,,,,,,TORQUE,12.26,Nm,,
94,8827,SENSOR,,SENSOR_READING,S11,,,,,,,,VIBRATION,0.253227,g,,
95,8827,SENSOR,,SENSOR_READING,S11,,,,,,,,TEMPERATURE,39.9596,C,,
96,8827,SENSOR,,SENSOR_READING,S11,,,,,,,,CURRENT,2.139,A,,
97,8827,SENSOR,,SENSOR_READING,S11,,,,,,,,TORQUE,3.95123,Nm,,
98,9086,SENSOR,,SENSOR_READING,S19,,,,,,,,VIBRATION,0.168665,g,,
99,9086,SENSOR,,SENSOR_READING,S19,,,,,,,,TEMPERATURE,39.6903,C,,
100,9086,SENSOR,,SENSOR_READING,S19,,,,,,,,CURRENT,2.28993,A,,
101,9086,SENSOR,,SENSOR_READING,S19,,,,,,,,TORQUE,3.89331,Nm,,
102,9097,SENSOR,,SENSOR_READING,S28,,,,,,,,VIBRATION,0.157847,g,,
103,9097,SENSOR,,SENSOR_READING,S28,,,,,,,,TEMPERATURE,39.8241,C,,
104,9097,SENSOR,,SENSOR_READING,S28,,,,,,,,CURRENT,2.40215,A,,
105,9097,SENSOR,,SENSOR_READING,S28,,,,,,,,TORQUE,3.748,Nm,,
106,9111,SENSOR,,SENSOR_READING,S03,,,,,,,,VIBRATION,0.129159,g,,
107,9111,SENSOR,,SENSOR_READING,S03,,,,,,,,TEMPERATURE,39.7204,C,,
108,9111,SENSOR,,SENSOR_READING,S03,,,,,,,,CURRENT,2.13283,A,,
109,9111,SENSOR,,SENSOR_READING,S03,,,,,,,,TORQUE,2.41025,Nm,,
110,9127,SENSOR,,SENSOR_READING,S12,,,,,,,,VIBRATION,0.152553,g,,
111,9127,SENSOR,,SENSOR_READING,S12,,,,,,,,TEMPERATURE,39.6152,C,,
112,9127,SENSOR,,SENSOR_READING,S12,,,,,,,,CURRENT,2.15428,A,,
113,9127,SENSOR,,SENSOR_READING,S12,,,,,,,,TORQUE,4.14264,Nm,,
114,9307,SENSOR,,SENSOR_READING,S22,,,,,,,,VIBRATION,0.196676,g,,
115,9307,SENSOR,,SENSOR_READING,S22,,,,,,,,TEMPERATURE,39.8059,C,,
116,9307,SENSOR,,SENSOR_READING,S22,,,,,,,,CURRENT,2.12796,A,,
117,9307,SENSOR,,SENSOR_READING,S22,,,,,,,,TORQUE,3.034,Nm,,
118,9336,SENSOR,,SENSOR_READING,S17,,,,,,,,VIBRATION,0.175738,g,,
119,9336,SENSOR,,SENSOR_READING,S17,,,,,,,,TEMPERATURE,39.8958,C,,
120,9336,SENSOR,,SENSOR_READING,S17,,,,,,,,CURRENT,2.21766,A,,
121,9336,SENSOR,,SENSOR_READING,S17,,,,,,,,TORQUE,3.68335,Nm,,
122,9422,SENSOR,,SENSOR_READING,S23,,,,,,,,VIBRATION,0.188341,g,,
123,9422,SENSOR,,SENSOR_READING,S23,,,,,,,,TEMPERATURE,39.61,C,,
124,9422,SENSOR,,SENSOR_READING,S23,,,,,,,,CURRENT,2.08288,A,,
125,9422,SENSOR,,SENSOR_READING,S23,,,,,,,,TORQUE,3.81589,Nm,,
126,9514,SENSOR,,SENSOR_READING,S02,,,,,,,,VIBRATION,0.169795,g,,
127,9514,SENSOR,,SENSOR_READING,S02,,,,,,,,TEMPERATURE,39.6295,C,,
128,9514,SENSOR,,SENSOR_READING,S02,,,,,,,,CURRENT,2.17301,A,,
129,9514,SENSOR,,SENSOR_READING,S02,,,,,,,,TORQUE,3.85188,Nm,,
130,9563,SENSOR,,SENSOR_READING,S05,,,,,,,,VIBRATION,0.284149,g,,
131,9563,SENSOR,,SENSOR_READING,S05,,,,,,,,TEMPERATURE,39.9263,C,,
132,9563,SENSOR,,SENSOR_READING,S05,,,,,,,,CURRENT,2.51294,A,,
133,9563,SENSOR,,SENSOR_READING,S05,,,,,,,,TORQUE,4.13607,Nm,,
134,9568,SENSOR,,SENSOR_READING,S07,,,,,,,,VIBRATION,0.212372,g,,
135,9568,SENSOR,,SENSOR_READING,S07,,,,,,,,TEMPERATURE,39.7804,C,,
136,9568,SENSOR,,SENSOR_READING,S07,,,,,,,,CURRENT,2.07728,A,,
137,9568,SENSOR,,SENSOR_READING,S07,,,,,,,,TORQUE,3.486,Nm,,
138,9676,SENSOR,,SENSOR_READING,S26,,,,,,,,VIBRATION,0.234346,g,,
139,9676,SENSOR,,SENSOR_READING,S26,,,,,,,,TEMPERATURE,39.7903,C,,
140,9676,SENSOR,,SENSOR_READING,S26,,,,,,,,CURRENT,2.3214,A,,
141,9676,SENSOR,,SENSOR_READING,S26,,,,,,,,TORQUE,3.98503,Nm,,
142,9987,SENSOR,,SENSOR_READING,S25,,,,,,,,VIBRATION,0.233453,g,,
143,9987,SENSOR,,SENSOR_READING,S25,,,,,,,,TEMPERATURE,39.9043,C,,
144,9987,SENSOR,,SENSOR_READING,S25,,,,,,,,CURRENT,2.26387,A,,
145,9987,SENSOR,,SENSOR_READING,S25,,,,,,,,TORQUE,3.92537,Nm,,
146,10263,SENSOR,,SENSOR_READING,S29,,,,,,,,VIBRATION,0.171527,g,,
147,10263,SENSOR,,SENSOR_READING,S29,,,,,,,,TEMPERATURE,39.5496,C,,
148,10263,SENSOR,,SENSOR_READING,S29,,,,,,,,CURRENT,2.20449,A,,
149,10263,SENSOR,,SENSOR_READING,S29,,,,,,,,TORQUE,3.41433,Nm,,
150,10567,SENSOR,,SENSOR_READING,S01,,,,,,,,VIBRATION,0.936155,g,,
151,10567,SENSOR,,SENSOR_READING,S01,,,,,,,,TEMPERATURE,44.8538,C,,
152,10567,SENSOR,,SENSOR_READING,S01,,,,,,,,CURRENT,14.1492,A,,
153,10567,SENSOR,,SENSOR_READING,S01,,,,,,,,TORQUE,53.3997,Nm,,
154,10598,SENSOR,,SENSOR_READING,S15,,,,,,,,VIBRATION,0.177332,g,,
155,10598,SENSOR,,SENSOR_READING,S15,,,,,,,,TEMPERATURE,39.6761,C,,
156,10598,SENSOR,,SENSOR_READING,S15,,,,,,,,CURRENT,2.32163,A,,
157,10598,SENSOR,,SENSOR_READING,S15,,,,,,,,TORQUE,3.26066,Nm,,
158,10599,SENSOR,,SENSOR_READING,S20,,,,,,,,VIBRATION,0.173513,g,,
159,10599,SENSOR,,SENSOR_READING,S20,,,,,,,,TEMPERATURE,40.042,C,,
160,10599,SENSOR,,SENSOR_READING,S20,,,,,,,,CURRENT,2.2135,A,,
161,10599,SENSOR,,SENSOR_READING,S20,,,,,,,,TORQUE,3.71873,Nm,,
162,10769,SENSOR,,SENSOR_READING,S06,,,,,,,,VIBRATION,0.151091,g,,
163,10769,SENSOR,,SENSOR_READING,S06,,,,,,,,TEMPERATURE,39.6819,C,,
164,10769,SENSOR,,SENSOR_READING,S06,,,,,,,,CURRENT,1.99871,A,,
165,10769,SENSOR,,SENSOR_READING,S06,,,,,,,,TORQUE,3.61819,Nm,,
166,11002,SENSOR,,SENSOR_READING,S16,,,,,,,,VIBRATION,0.162529,g,,
167,11002,SENSOR,,SENSOR_READING,S16,,,,,,,,TEMPERATURE,40.3764,C,,
168,11002,SENSOR,,SENSOR_READING,S16,,,,,,,,CURRENT,2.07391,A,,
169,11002,SENSOR,,SENSOR_READING,S16,,,,,,,,TORQUE,4.84163,Nm,,
170,17753,SENSOR,,SENSOR_READING,S11,,,,,,,,VIBRATION,0.206965,g,,
171,17753,SENSOR,,SENSOR_READING,S11,,,,,,,,TEMPERATURE,39.7326,C,,
172,17753,SENSOR,,SENSOR_READING,S11,,,,,,,,CURRENT,2.36802,A,,
173,17753,SENSOR,,SENSOR_READING,S11,,,,,,,,TORQUE,1.05534,Nm,,
174,18238,SENSOR,,SENSOR_READING,S19,,,,,,,,VIBRATION,0.140975,g,,
175,18238,SENSOR,,SENSOR_READING,S19,,,,,,,,TEMPERATURE,39.6943,C,,
176,18238,SENSOR,,SENSOR_READING,S19,,,,,,,,CURRENT,2.35907,A,,
177,18238,SENSOR,,SENSOR_READING,S19,,,,,,,,TORQUE,1.24623,Nm,,
178,18430,SENSOR,,SENSOR_READING,S17,,,,,,,,VIBRATION,0.181275,g,,
179,18430,SENSOR,,SENSOR_READING,S17,,,,,,,,TEMPERATURE,39.6373,C,,
180,18430,SENSOR,,SENSOR_READING,S17,,,,,,,,CURRENT,2.10641,A,,
181,18430,SENSOR,,SENSOR_READING,S17,,,,,,,,TORQUE,1.14573,Nm,,
182,18441,SENSOR,,SENSOR_READING,S28,,,,,,,,VIBRATION,0.220098,g,,
183,18441,SENSOR,,SENSOR_READING,S28,,,,,,,,TEMPERATURE,39.603,C,,
184,18441,SENSOR,,SENSOR_READING,S28,,,,,,,,CURRENT,2.26128,A,,
185,18441,SENSOR,,SENSOR_READING,S28,,,,,,,,TORQUE,1.55411,Nm,,
186,18791,SENSOR,,SENSOR_READING,S22,,,,,,,,VIBRATION,0.144913,g,,
187,18791,SENSOR,,SENSOR_READING,S22,,,,,,,,TEMPERATURE,39.5717,C,,
188,18791,SENSOR,,SENSOR_READING,S22,,,,,,,,CURRENT,2.17628,A,,
189,18791,SENSOR,,SENSOR_READING,S22,,,,,,,,TORQUE,0.899624,Nm,,
190,18794,SENSOR,,SENSOR_READING,S23,,,,,,,,VIBRATION,0.223342,g,,
191,18794,SENSOR,,SENSOR_READING,S23,,,,,,,,TEMPERATURE,39.3869,C,,
192,18794,SENSOR,,SENSOR_READING,S23,,,,,,,,CURRENT,2.36693,A,,
193,18794,SENSOR,,SENSOR_READING,S23,,,,,,,,TORQUE,1.30837,Nm,,
194,18904,SENSOR,,SENSOR_READING,S26,,,,,,,,VIBRATION,0.159653,g,,
195,18904,SENSOR,,SENSOR_READING,S26,,,,,,,,TEMPERATURE,39.7353,C,,
196,18904,SENSOR,,SENSOR_READING,S26,,,,,,,,CURRENT,2.2543,A,,
197,18904,SENSOR,,SENSOR_READING,S26,,,,,,,,TORQUE,1.02123,Nm,,
198,19278,SENSOR,,SENSOR_READING,S03,,,,,,,,VIBRATION,0.180024,g,,
199,19278,SENSOR,,SENSOR_READING,S03,,,,,,,,TEMPERATURE,39.8473,C,,
200,19278,SENSOR,,SENSOR_READING,S03,,,,,,,,CURRENT,2.1403,A,,
201,19278,SENSOR,,SENSOR_READING,S03,,,,,,,,TORQUE,0.409612,Nm,,
202,19302,SENSOR,,SENSOR_READING,S12,,,,,,,,VIBRATION,0.126915,g,,
203,19302,SENSOR,,SENSOR_READING,S12,,,,,,,,TEMPERATURE,39.7678,C,,
204,19302,SENSOR,,SENSOR_READING,S12,,,,,,,,CURRENT,2.35131,A,,
205,19302,SENSOR,,SENSOR_READING,S12,,,,,,,,TORQUE,1.06623,Nm,,
206,19311,SENSOR,,SENSOR_READING,S02,,,,,,,,VIBRATION,0.227256,g,,
207,19311,SENSOR,,SENSOR_READING,S02,,,,,,,,TEMPERATURE,39.6891,C,,
208,19311,SENSOR,,SENSOR_READING,S02,,,,,,,,CURRENT,2.32128,A,,
209,19311,SENSOR,,SENSOR_READING,S02,,,,,,,,TORQUE,0.410641,Nm,,
210,19470,SENSOR,,SENSOR_READING,S25,,,,,,,,VIBRATION,0.204592,g,,
211,19470,SENSOR,,SENSOR_READING,S25,,,,,,,,TEMPERATURE,39.5724,C,,
212,19470,SENSOR,,SENSOR_READING,S25,,,,,,,,CURRENT,2.43328,A,,
213,19470,SENSOR,,SENSOR_READING,S25,,,,,,,,TORQUE,1.24024,Nm,,
214,19612,SENSOR,,SENSOR_READING,S01,,,,,,,,VIBRATION,1.11835,g,,
215,19612,SENSOR,,SENSOR_READING,S01,,,,,,,,TEMPERATURE,46.7583,C,,
216,19612,SENSOR,,SENSOR_READING,S01,,,,,,,,CURRENT,14.3947,A,,
217,19612,SENSOR,,SENSOR_READING,S01,,,,,,,,TORQUE,55.1382,Nm,,
218,19637,SENSOR,,SENSOR_READING,S05,,,,,,,,VIBRATION,0.256077,g,,
219,19637,SENSOR,,SENSOR_READING,S05,,,,,,,,TEMPERATURE,39.8197,C,,
220,19637,SENSOR,,SENSOR_READING,S05,,,,,,,,CURRENT,2.29993,A,,
221,19637,SENSOR,,SENSOR_READING,S05,,,,,,,,TORQUE,1.08053,Nm,,
222,19941,SENSOR,,SENSOR_READING,S06,,,,,,,,VIBRATION,0.149028,g,,
223,19941,SENSOR,,SENSOR_READING,S06,,,,,,,,TEMPERATURE,39.5676,C,,
224,19941,SENSOR,,SENSOR_READING,S06,,,,,,,,CURRENT,2.37545,A,,
225,19941,SENSOR,,SENSOR_READING,S06,,,,,,,,TORQUE,0.669171,Nm,,
226,20309,SENSOR,,SENSOR_READING,S15,,,,,,,,VIBRATION,0.214253,g,,
227,20309,SENSOR,,SENSOR_READING,S15,,,,,,,,TEMPERATURE,39.6465,C,,
228,20309,SENSOR,,SENSOR_READING,S15,,,,,,,,CURRENT,2.20438,A,,
229,20309,SENSOR,,SENSOR_READING,S15,,,,,,,,TORQUE,0.217481,Nm,,
230,20442,SENSOR,,SENSOR_READING,S07,,,,,,,,VIBRATION,0.213864,g,,
231,20442,SENSOR,,SENSOR_READING,S07,,,,,,,,TEMPERATURE,39.6644,C,,
232,20442,SENSOR,,SENSOR_READING,S07,,,,,,,,CURRENT,2.23098,A,,
233,20442,SENSOR,,SENSOR_READING,S07,,,,,,,,TORQUE,1.26646,Nm,,
234,21095,SENSOR,,SENSOR_READING,S29,,,,,,,,VIBRATION,0.233824,g,,
235,21095,SENSOR,,SENSOR_READING,S29,,,,,,,,TEMPERATURE,39.5324,C,,
236,21095,SENSOR,,SENSOR_READING,S29,,,,,,,,CURRENT,2.15087,A,,
237,21095,SENSOR,,SENSOR_READING,S29,,,,,,,,TORQUE,0.925634,Nm,,
238,21776,SENSOR,,SENSOR_READING,S20,,,,,,,,VIBRATION,0.15566,g,,
239,21776,SENSOR,,SENSOR_READING,S20,,,,,,,,TEMPERATURE,40.1205,C,,
240,21776,SENSOR,,SENSOR_READING,S20,,,,,,,,CURRENT,2.04367,A,,
241,21776,SENSOR,,SENSOR_READING,S20,,,,,,,,TORQUE,1.15679,Nm,,
242,22196,SENSOR,,SENSOR_READING,S16,,,,,,,,VIBRATION,0.204817,g,,
243,22196,SENSOR,,SENSOR_READING,S16,,,,,,,,TEMPERATURE,40.2988,C,,
244,22196,SENSOR,,SENSOR_READING,S16,,,,,,,,CURRENT,2.11564,A,,
245,22196,SENSOR,,SENSOR_READING,S16,,,,,,,,TORQUE,1.61102,Nm,,
246,26736,SENSOR,,SENSOR_READING,S21,,,,,,,,VIBRATION,0.242142,g,,
247,26736,SENSOR,,SENSOR_READING,S21,,,,,,,,TEMPERATURE,39.9098,C,,
248,27383,SENSOR,,SENSOR_READING,S10,,,,,,,,VIBRATION,0.210188,g,,
249,27383,SENSOR,,SENSOR_READING,S10,,,,,,,,TEMPERATURE,39.8364,C,,
250,27884,SENSOR,,SENSOR_READING,S26,,,,,,,,VIBRATION,0.16358,g,,
251,27884,SENSOR,,SENSOR_READING,S26,,,,,,,,TEMPERATURE,39.5101,C,,
252,27884,SENSOR,,SENSOR_READING,S26,,,,,,,,CURRENT,2.0982,A,,
253,27884,SENSOR,,SENSOR_READING,S26,,,,,,,,TORQUE,0,Nm,,
254,28100,SENSOR,,SENSOR_READING,S23,,,,,,,,VIBRATION,0.24621,g,,
255,28100,SENSOR,,SENSOR_READING,S23,,,,,,,,TEMPERATURE,39.3975,C,,
256,28100,SENSOR,,SENSOR_READING,S23,,,,,,,,CURRENT,2.23221,A,,
257,28100,SENSOR,,SENSOR_READING,S23,,,,,,,,TORQUE,0,Nm,,
258,28379,SENSOR,,SENSOR_READING,S31,,,,,,,,VIBRATION,0.143029,g,,
259,28379,SENSOR,,SENSOR_READING,S31,,,,,,,,TEMPERATURE,39.5607,C,,
260,28642,SENSOR,,SENSOR_READING,S11,,,,,,,,VIBRATION,0.231137,g,,
261,28642,SENSOR,,SENSOR_READING,S11,,,,,,,,TEMPERATURE,39.8977,C,,
262,28642,SENSOR,,SENSOR_READING,S11,,,,,,,,CURRENT,2.40355,A,,
263,28642,SENSOR,,SENSOR_READING,S11,,,,,,,,TORQUE,0,Nm,,
264,28696,SENSOR,,SENSOR_READING,S32,,,,,,,,VIBRATION,0.184166,g,,
265,28696,SENSOR,,SENSOR_READING,S32,,,,,,,,TEMPERATURE,39.2585,C,,
266,28824,SENSOR,,SENSOR_READING,S25,,,,,,,,VIBRATION,0.1514,g,,
267,28824,SENSOR,,SENSOR_READING,S25,,,,,,,,TEMPERATURE,39.5511,C,,
268,28824,SENSOR,,SENSOR_READING,S25,,,,,,,,CURRENT,2.2156,A,,
269,28824,SENSOR,,SENSOR_READING,S25,,,,,,,,TORQUE,0,Nm,,
270,28853,SENSOR,,SENSOR_READING,S05,,,,,,,,VIBRATION,0.197546,g,,
271,28853,SENSOR,,SENSOR_READING,S05,,,,,,,,TEMPERATURE,39.8169,C,,
272,28853,SENSOR,,SENSOR_READING,S05,,,,,,,,CURRENT,2.18111,A,,
273,28853,SENSOR,,SENSOR_READING,S05,,,,,,,,TORQUE,1.07802,Nm,,
274,28890,SENSOR,,SENSOR_READING,S22,,,,,,,,VIBRATION,0.238411,g,,
275,28890,SENSOR,,SENSOR_READING,S22,,,,,,,,TEMPERATURE,39.348,C,,
276,28890,SENSOR,,SENSOR_READING,S22,,,,,,,,CURRENT,1.8642,A,,
277,28890,SENSOR,,SENSOR_READING,S22,,,,,,,,TORQUE,0.555944,Nm,,
278,28905,SENSOR,,SENSOR_READING,S28,,,,,,,,VIBRATION,0.231809,g,,
279,28905,SENSOR,,SENSOR_READING,S28,,,,,,,,TEMPERATURE,39.5995,C,,
280,28905,SENSOR,,SENSOR_READING,S28,,,,,,,,CURRENT,2.31197,A,,
281,28905,SENSOR,,SENSOR_READING,S28,,,,,,,,TORQUE,1.00364,Nm,,
282,29015,SENSOR,,SENSOR_READING,S09,,,,,,,,VIBRATION,0.169047,g,,
283,29015,SENSOR,,SENSOR_READING,S09,,,,,,,,TEMPERATURE,39.809,C,,
284,29108,SENSOR,,SENSOR_READING,S17,,,,,,,,VIBRATION,0.193385,g,,
285,29108,SENSOR,,SENSOR_READING,S17,,,,,,,,TEMPERATURE,39.5812,C,,
286,29108,SENSOR,,SENSOR_READING,S17,,,,,,,,CURRENT,2.15233,A,,
287,29108,SENSOR,,SENSOR_READING,S17,,,,,,,,TORQUE,0.567224,Nm,,
288,29248,SENSOR,,SENSOR_READING,S19,,,,,,,,VIBRATION,0.127469,g,,
289,29248,SENSOR,,SENSOR_READING,S19,,,,,,,,TEMPERATURE,39.7198,C,,
290,29248,SENSOR,,SENSOR_READING,S19,,,,,,,,CURRENT,2.20196,A,,
291,29248,SENSOR,,SENSOR_READING,S19,,,,,,,,TORQUE,0.66058,Nm,,
292,29284,SENSOR,,SENSOR_READING,S14,,,,,,,,VIBRATION,0.206963,g,,
