station_id,station_name,zone,station_type,sensor_maturity,baseline_cycle_time_seconds,effective_baseline_service_time_seconds,mix_weighted_service_time_seconds,weighted_workload_seconds_per_line_vehicle,nominal_line_arrival_headway_seconds,station_visit_probability,nominal_station_arrival_headway_seconds,nominal_station_arrival_rate_vehicles_per_hour,nominal_utilization_rho,service_capacity_vehicles_per_hour,line_equivalent_capacity_vehicles_per_hour,resource_capacity,inbound_buffer_ids,inbound_buffer_capacities,outbound_buffer_ids,outbound_buffer_capacities,slowdown_multiplier_to_rho_1,highest_workload_variant,highest_workload_variant_service_time_seconds,rho_at_100pct_highest_workload_variant,manual_variation_rho_at_severity_0_95_if_targeted,equipment_degradation_rho_at_severity_0_9_if_targeted,background_micro_stops_rho_at_severity_0_9_if_targeted,flow_calibrated_micro_stops_rho_at_severity_0_95_if_targeted,manual_variation_current_target,equipment_degradation_current_target,background_micro_stops_current_target,flow_calibrated_micro_stops_current_target,manual_variation_capacity_crossing_possible_current_max,equipment_degradation_capacity_crossing_possible_current_max,flow_calibrated_micro_stops_capacity_crossing_possible_current_max,vehicle_mix_capacity_crossing_possible_at_100pct_slowest,ice_sedan_service_time_seconds,ice_sedan_workload_contribution_seconds_per_line_vehicle,ice_suv_service_time_seconds,ice_suv_workload_contribution_seconds_per_line_vehicle,ev_service_time_seconds,ev_workload_contribution_seconds_per_line_vehicle,cycle_time_changed,old_baseline_cycle_time_seconds,new_baseline_cycle_time_seconds,rho_before_at_100_0s,rho_after_at_100_0s,rho_before_at_102_5s,rho_after_at_102_5s,rho_before_at_105_0s,rho_after_at_105_0s
S11,Body Finishing / Manual Inspection,body_joining,MANUAL_ASSEMBLY,poor,72.0,72.0,72.0,72.0,102.5,1.0,102.5,35.1219512195122,0.7024390243902439,50.0,50.0,1,B10,3,B11,5,1.4236111111111112,ICE_SEDAN,72.0,0.7024390243902439,1.1414634146341462,1.3486829268292682,0.8743536585365854,1.0782896341463415,True,False,False,False,True,True,True,False,72.0,32.4,72.0,25.2,72.0,14.4,True,65.0,72.0,0.65,0.72,0.6341463414634146,0.7024390243902439,0.6190476190476191,0.6857142857142857
S12,Body-Out Dimensional Check,body_joining,DIMENSIONAL_INSPECTION,rich,25.0,25.0,25.0,25.0,102.5,1.0,102.5,35.1219512195122,0.24390243902439024,144.0,144.0,1,B11,5,B12,5,4.1000000000000005,ICE_SEDAN,25.0,0.24390243902439024,0.39634146341463417,0.46829268292682924,0.41581707317073174,0.6197530487804878,False,False,False,False,False,False,False,False,25.0,11.25,25.0,8.75,25.0,5.0,False,25.0,25.0,0.25,0.25,0.24390243902439024,0.24390243902439024,0.23809523809523808,0.23809523809523808
S13,Pretreatment,paint_surface,PAINT_COATING,rich,40.0,40.0,40.0,40.0,102.5,1.0,102.5,35.1219512195122,0.3902439024390244,90.0,90.0,1,B12,5,B13,4,2.5625,ICE_SEDAN,40.0,0.3902439024390244,0.6341463414634146,0.7492682926829268,0.5621585365853659,0.7660945121951219,False,False,False,False,False,False,False,False,40.0,18.0,40.0,14.0,40.0,8.0,False,40.0,40.0,0.4,0.4,0.3902439024390244,0.3902439024390244,0.38095238095238093,0.38095238095238093
S14,E-Coat Application,paint_surface,PAINT_COATING,rich,55.0,55.0,55.0,55.0,102.5,1.0,102.5,35.1219512195122,0.5365853658536586,65.45454545454545,65.45454545454545,1,B13,4,B14,5,1.8636363636363635,ICE_SEDAN,55.0,0.5365853658536586,0.8719512195121952,1.0302439024390244,0.7085,0.9124359756097561,False,False,False,False,False,True,False,False,55.0,24.75,55.0,19.25,55.0,11.0,False,55.0,55.0,0.55,0.55,0.5365853658536586,0.5365853658536586,0.5238095238095238,0.5238095238095238
S15,E-Coat Cure,paint_surface,CURING_ENVIRONMENTAL,rich,62.0,62.0,62.0,62.0,102.5,1.0,102.5,35.1219512195122,0.6048780487804878,58.064516129032256,58.064516129032256,1,B14,5,B15,5,1.653225806451613,ICE_SEDAN,62.0,0.6048780487804878,0.9829268292682927,1.1613658536585365,0.7767926829268293,0.9807286585365853,False,False,False,False,False,True,False,False,62.0,27.900000000000002,62.0,21.7,62.0,12.4,False,62.0,62.0,0.62,0.62,0.6048780487804878,0.6048780487804878,0.5904761904761905,0.5904761904761905
S16,Sealer Application,paint_surface,ADHESIVE_SEALING,partial,34.0,34.0,34.0,34.0,102.5,1.0,102.5,35.1219512195122,0.33170731707317075,105.88235294117646,105.88235294117646,1,B15,5,B16,4,3.014705882352941,ICE_SEDAN,34.0,0.33170731707317075,0.5390243902439025,0.6368780487804878,0.5036219512195123,0.7075579268292683,False,False,False,False,False,False,False,False,34.0,15.3,34.0,11.899999999999999,34.0,6.800000000000001,False,34.0,34.0,0.34,0.34,0.33170731707317075,0.33170731707317075,0.3238095238095238,0.3238095238095238
S17,Primer Application,paint_surface,PAINT_COATING,rich,46.0,46.0,46.483,46.483,102.5,1.0,102.5,35.1219512195122,0.45349268292682926,77.4476690402943,77.4476690402943,1,B16,4,B17,4,2.2051072435083796,ICE_SUV,47.38,0.4622439024390244,0.7369256097560976,0.8707059512195121,0.6254073170731707,0.8293432926829267,False,False,False,False,False,False,False,False,46.0,20.7,47.38,16.583,46.0,9.200000000000001,False,46.0,46.0,0.46482999999999997,0.46482999999999997,0.45349268292682926,0.45349268292682926,0.4426952380952381,0.4426952380952381
S18,Base / Colour Coat,paint_surface,PAINT_COATING,rich,50.0,50.0,50.525,50.525,102.5,1.0,102.5,35.1219512195122,0.4929268292682927,71.25185551707077,71.25185551707077,1,B17,4,B18,4,2.028698664027709,ICE_SUV,51.5,0.5024390243902439,0.8010060975609756,0.9464195121951219,0.6648414634146341,0.8687774390243902,False,False,False,False,False,False,False,False,50.0,22.5,51.5,18.025,50.0,10.0,False,50.0,50.0,0.50525,0.50525,0.4929268292682927,0.4929268292682927,0.48119047619047617,0.48119047619047617
S19,Clear Coat,paint_surface,PAINT_COATING,rich,48.0,48.0,48.504000000000005,48.504000000000005,102.5,1.0,102.5,35.1219512195122,0.473209756097561,74.22068283028203,74.22068283028203,1,B18,4,B19,4,2.1132277750288635,ICE_SUV,49.44,0.48234146341463413,0.7689658536585366,0.908562731707317,0.6451243902439026,0.8490603658536584,False,False,False,False,False,False,False,False,48.0,21.6,49.44,17.304,48.0,9.600000000000001,False,48.0,48.0,0.48504,0.48504,0.473209756097561,0.473209756097561,0.4619428571428572,0.4619428571428572
S20,Paint Cure + Paint Inspection,paint_surface,CURING_ENVIRONMENTAL,rich,73.0,73.0,73.0,73.0,102.5,1.0,102.5,35.1219512195122,0.7121951219512195,49.31506849315068,49.31506849315068,1,B19,4,B20,5,1.404109589041096,ICE_SEDAN,73.0,0.7121951219512195,1.1573170731707316,1.3674146341463413,0.884109756097561,1.088045731707317,False,False,False,False,True,True,True,False,73.0,32.85,73.0,25.549999999999997,73.0,14.600000000000001,True,66.0,73.0,0.66,0.73,0.6439024390243903,0.7121951219512195,0.6285714285714286,0.6952380952380952
S21,Trim Preparation,final_assembly,MANUAL_ASSEMBLY,poor,75.0,75.0,75.0,75.0,102.5,1.0,102.5,35.1219512195122,0.7317073170731707,48.0,48.0,1,B20,5,B21,4,1.3666666666666667,ICE_SEDAN,75.0,0.7317073170731707,1.1890243902439024,1.4048780487804877,0.9036219512195123,1.1075579268292683,True,False,False,False,True,True,True,False,75.0,33.75,75.0,26.25,75.0,15.0,True,70.0,75.0,0.7,0.75,0.6829268292682927,0.7317073170731707,0.6666666666666666,0.7142857142857143
S22,Wiring Harness Installation,final_assembly,MANUAL_ASSEMBLY,poor,88.0,88.0,90.64,90.64,102.5,1.0,102.5,35.1219512195122,0.8842926829268293,39.717563989408646,39.717563989408646,1,B21,4,B22,4,1.130847308031774,EV,101.19999999999999,0.9873170731707316,1.4369756097560975,1.6978419512195122,1.0562073170731707,1.2601432926829266,True,False,False,False,True,True,True,False,88.0,39.6,88.0,30.799999999999997,101.19999999999999,20.24,False,88.0,88.0,0.9064,0.9064,0.8842926829268293,0.8842926829268293,0.8632380952380952,0.8632380952380952
S23,Instrument Panel Installation,final_assembly,ROBOTIC_HANDLING_ASSEMBLY,rich,40.0,40.0,40.0,40.0,102.5,1.0,102.5,35.1219512195122,0.3902439024390244,90.0,90.0,1,B22,4,B23,3,2.5625,ICE_SEDAN,40.0,0.3902439024390244,0.6341463414634146,0.7492682926829268,0.5621585365853659,0.7660945121951219,False,False,True,False,False,False,False,False,40.0,18.0,40.0,14.0,40.0,8.0,False,40.0,40.0,0.4,0.4,0.3902439024390244,0.3902439024390244,0.38095238095238093,0.38095238095238093
S24,HVAC / Interior Module Installation,final_assembly,MANUAL_ASSEMBLY,poor,75.0,75.0,75.0,75.0,102.5,1.0,102.5,35.1219512195122,0.7317073170731707,48.0,48.0,1,B23,3,B24,4,1.3666666666666667,ICE_SEDAN,75.0,0.7317073170731707,1.1890243902439024,1.4048780487804877,0.9036219512195123,1.1075579268292683,True,False,False,False,True,True,True,False,75.0,33.75,75.0,26.25,75.0,15.0,False,75.0,75.0,0.75,0.75,0.7317073170731707,0.7317073170731707,0.7142857142857143,0.7142857142857143
S25,Glass Installation / Sealing,final_assembly,ADHESIVE_SEALING,partial,36.0,36.0,36.0,36.0,102.5,1.0,102.5,35.1219512195122,0.35121951219512193,100.0,100.0,1,B24,4,B25,4,2.8472222222222223,ICE_SEDAN,36.0,0.35121951219512193,0.5707317073170731,0.6743414634146341,0.5231341463414635,0.7270701219512195,False,False,False,False,False,False,False,False,36.0,16.2,36.0,12.6,36.0,7.2,False,36.0,36.0,0.36,0.36,0.35121951219512193,0.35121951219512193,0.34285714285714286,0.34285714285714286
S26,Powertrain / Battery Pack Marriage,final_assembly,ROBOTIC_HANDLING_ASSEMBLY,rich,72.0,72.0,77.39999999999999,77.39999999999999,102.5,1.0,102.5,35.1219512195122,0.7551219512195121,46.51162790697675,46.51162790697675,1,B25,4,B26,5,1.3242894056847547,EV,86.39999999999999,0.8429268292682927,1.227073170731707,1.4498341463414632,0.9270365853658536,1.1309725609756096,False,True,True,True,True,True,True,False,72.0,32.4,79.2,27.72,86.39999999999999,17.279999999999998,False,72.0,72.0,0.7739999999999999,0.7739999999999999,0.7551219512195121,0.7551219512195121,0.7371428571428571,0.7371428571428571
S27,Powertrain / Battery Pack Mounting Fastening,final_assembly,TORQUE_FASTENING,rich,22.0,22.0,22.385,22.385,102.5,1.0,102.5,35.1219512195122,0.21839024390243905,160.82197900379717,160.82197900379717,1,B26,5,B27,4,4.578959124413669,ICE_SUV,23.1,0.2253658536585366,0.3548841463414635,0.41930926829268295,0.3903048780487805,0.5942408536585365,False,True,False,False,False,False,False,False,22.0,9.9,23.1,8.085,22.0,4.4,False,22.0,22.0,0.22385000000000002,0.22385000000000002,0.21839024390243905,0.21839024390243905,0.2131904761904762,0.2131904761904762
S28,Suspension / Chassis Fastening,final_assembly,TORQUE_FASTENING,rich,26.0,26.0,26.455000000000002,26.455000000000002,102.5,1.0,102.5,35.1219512195122,0.25809756097560976,136.08013608013607,136.08013608013607,1,B27,4,B28,4,3.8745038745038745,ICE_SUV,27.3,0.26634146341463416,0.41940853658536587,0.49554731707317073,0.4300121951219512,0.6339481707317073,False,True,False,False,False,False,False,False,26.0,11.700000000000001,27.3,9.555,26.0,5.2,False,26.0,26.0,0.26455,0.26455,0.25809756097560976,0.25809756097560976,0.251952380952381,0.251952380952381
S29,Seat Installation,final_assembly,MANUAL_ASSEMBLY,partial,55.0,55.0,55.0,55.0,102.5,1.0,102.5,35.1219512195122,0.5365853658536586,65.45454545454545,65.45454545454545,1,B28,4,B29,4,1.8636363636363635,ICE_SEDAN,55.0,0.5365853658536586,0.8719512195121952,1.0302439024390244,0.7085,0.9124359756097561,False,False,False,False,False,True,False,False,55.0,24.75,55.0,19.25,55.0,11.0,False,55.0,55.0,0.55,0.55,0.5365853658536586,0.5365853658536586,0.5238095238095238,0.5238095238095238
S30,Seat Torque Verification,final_assembly,TORQUE_FASTENING,partial,18.0,18.0,18.315,18.315,102.5,1.0,102.5,35.1219512195122,0.1786829268292683,196.56019656019654,196.56019656019654,1,B29,4,B30,4,5.596505596505596,ICE_SUV,18.900000000000002,0.18439024390243905,0.290359756097561,0.34307121951219516,0.3505975609756098,0.5545335365853659,False,False,False,False,False,False,False,False,18.0,8.1,18.900000000000002,6.615,18.0,3.6,False,18.0,18.0,0.18315,0.18315,0.1786829268292683,0.1786829268292683,0.17442857142857143,0.17442857142857143
S31,Wheel Installation,final_assembly,ROBOTIC_HANDLING_ASSEMBLY,rich,20.0,20.0,20.0,20.0,102.5,1.0,102.5,35.1219512195122,0.1951219512195122,180.0,180.0,1,B30,4,B31,4,5.125,ICE_SEDAN,20.0,0.1951219512195122,0.3170731707317073,0.3746341463414634,0.3670365853658537,0.5709725609756097,False,False,True,False,False,False,False,False,20.0,9.0,20.0,7.0,20.0,4.0,False,20.0,20.0,0.2,0.2,0.1951219512195122,0.1951219512195122,0.19047619047619047,0.19047619047619047
S32,Wheel Torque,final_assembly,TORQUE_FASTENING,partial,16.0,16.0,16.28,16.28,102.5,1.0,102.5,35.1219512195122,0.15882926829268293,221.13022113022112,221.13022113022112,1,B31,4,B32,4,6.296068796068796,ICE_SUV,16.8,0.16390243902439025,0.25809756097560976,0.3049521951219512,0.33074390243902446,0.5346798780487804,False,False,False,False,False,False,False,False,16.0,7.2,16.8,5.88,16.0,3.2,False,16.0,16.0,0.1628,0.1628,0.15882926829268293,0.15882926829268293,0.15504761904761905,0.15504761904761905
S33,Door / Closure Finishing,final_assembly,MANUAL_ASSEMBLY,poor,58.0,58.0,58.0,58.0,102.5,1.0,102.5,35.1219512195122,0.5658536585365853,62.06896551724138,62.06896551724138,1,B32,4,B33,3,1.767241379310345,ICE_SEDAN,58.0,0.5658536585365853,0.9195121951219511,1.0864390243902438,0.7377682926829269,0.9417042682926829,True,False,False,False,False,True,False,False,58.0,26.1,58.0,20.299999999999997,58.0,11.600000000000001,False,58.0,58.0,0.58,0.58,0.5658536585365853,0.5658536585365853,0.5523809523809524,0.5523809523809524
S34,Electrical Connection / System Check,final_assembly,MANUAL_ASSEMBLY,partial,68.0,68.0,68.0,68.0,102.5,1.0,102.5,35.1219512195122,0.6634146341463415,52.94117647058823,52.94117647058823,1,B33,3,B34;B36,5;5,1.5073529411764706,ICE_SEDAN,68.0,0.6634146341463415,1.078048780487805,1.2737560975609756,0.835329268292683,1.039265243902439,True,False,False,False,True,True,True,False,68.0,30.6,68.0,23.799999999999997,68.0,13.600000000000001,False,68.0,68.0,0.68,0.68,0.6634146341463415,0.6634146341463415,0.6476190476190476,0.6476190476190476
S35,Fluid-Related Process / Preparation,final_assembly,FLUID_FILL_FUNCTIONAL,partial,38.0,38.0,37.99999999999999,30.4,102.5,0.8,128.125,28.097560975609756,0.2965853658536585,94.73684210526318,118.42105263157897,1,B34,5,B35,4,3.37171052631579,ICE_SEDAN,38.0,0.37073170731707317,0.4819512195121951,0.5694439024390243,0.4341170731707317,0.5972658536585365,False,False,False,False,False,False,False,False,38.0,17.1,38.0,13.299999999999999,,0.0,False,38.0,38.0,0.304,0.304,0.2965853658536585,0.2965853658536585,0.2895238095238095,0.2895238095238095
S36,Variant-Specific ICE / EV Process,final_assembly,FLUID_FILL_FUNCTIONAL,rich,42.0,42.0,43.995000000000005,43.995000000000005,102.5,1.0,102.5,35.1219512195122,0.429219512195122,81.82748039549948,81.82748039549948,1,B35;B36,4;5,B37,4,2.3298102057051935,EV,48.3,0.4712195121951219,0.6974817073170733,0.8241014634146342,0.6011341463414634,0.8050701219512195,False,False,False,False,False,False,False,False,42.0,18.900000000000002,44.1,15.434999999999999,48.3,9.66,False,42.0,42.0,0.43995000000000006,0.43995000000000006,0.429219512195122,0.429219512195122,0.41900000000000004,0.41900000000000004
S37,Functional Assembly Check,final_assembly,INSPECTION_EOL_TESTING,rich,46.0,46.0,46.0,46.0,102.5,1.0,102.5,35.1219512195122,0.44878048780487806,78.26086956521739,78.26086956521739,1,B37,4,B38,3,2.2282608695652173,ICE_SEDAN,46.0,0.44878048780487806,0.7292682926829268,0.8616585365853658,0.6206951219512196,0.8246310975609756,False,False,False,False,False,False,False,False,46.0,20.7,46.0,16.099999999999998,46.0,9.200000000000001,False,46.0,46.0,0.46,0.46,0.44878048780487806,0.44878048780487806,0.4380952380952381,0.4380952380952381
S38,Final Trim / Manual Inspection,final_assembly,MANUAL_ASSEMBLY,poor,60.0,60.0,60.0,60.0,102.5,1.0,102.5,35.1219512195122,0.5853658536585366,60.0,60.0,1,B38,3,B39,5,1.7083333333333335,ICE_SEDAN,60.0,0.5853658536585366,0.9512195121951219,1.1239024390243901,0.7572804878048781,0.9612164634146342,True,False,False,False,False,True,False,False,60.0,27.0,60.0,21.0,60.0,12.0,False,60.0,60.0,0.6,0.6,0.5853658536585366,0.5853658536585366,0.5714285714285714,0.5714285714285714
S39,Dimensional / Final Visual Check,inspection_eol,DIMENSIONAL_INSPECTION,rich,28.0,28.0,28.0,28.0,102.5,1.0,102.5,35.1219512195122,0.2731707317073171,128.57142857142858,128.57142857142858,1,B39,5,B40,4,3.6607142857142856,ICE_SEDAN,28.0,0.2731707317073171,0.4439024390243903,0.5244878048780488,0.44508536585365854,0.6490213414634146,False,False,False,False,False,False,False,False,28.0,12.6,28.0,9.799999999999999,28.0,5.6000000000000005,False,28.0,28.0,0.28,0.28,0.2731707317073171,0.2731707317073171,0.26666666666666666,0.26666666666666666
S40,Electrical Diagnostics,inspection_eol,INSPECTION_EOL_TESTING,rich,40.0,40.0,40.0,40.0,102.5,1.0,102.5,35.1219512195122,0.3902439024390244,90.0,90.0,1,B40,4,B41,4,2.5625,ICE_SEDAN,40.0,0.3902439024390244,0.6341463414634146,0.7492682926829268,0.5621585365853659,0.7660945121951219,False,False,False,False,False,False,False,False,40.0,18.0,40.0,14.0,40.0,8.0,False,40.0,40.0,0.4,0.4,0.3902439024390244,0.3902439024390244,0.38095238095238093,0.38095238095238093
S41,Leak / Pressure Test,inspection_eol,FLUID_FILL_FUNCTIONAL,partial,35.0,35.0,35.0,35.0,102.5,1.0,102.5,35.1219512195122,0.34146341463414637,102.85714285714286,102.85714285714286,1,B41,4,B42,4,2.9285714285714284,ICE_SEDAN,35.0,0.34146341463414637,0.5548780487804879,0.655609756097561,0.5133780487804879,0.7173140243902439,False,False,False,False,False,False,False,False,35.0,15.75,35.0,12.25,35.0,7.0,False,35.0,35.0,0.35,0.35,0.34146341463414637,0.34146341463414637,0.3333333333333333,0.3333333333333333
S42,Functional Test,inspection_eol,INSPECTION_EOL_TESTING,rich,50.0,50.0,50.0,50.0,102.5,1.0,102.5,35.1219512195122,0.4878048780487805,72.0,72.0,1,B42,4,B43,3,2.0500000000000003,ICE_SEDAN,50.0,0.4878048780487805,0.7926829268292683,0.9365853658536585,0.659719512195122,0.863655487804878,False,False,False,False,False,False,False,False,50.0,22.5,50.0,17.5,50.0,10.0,False,50.0,50.0,0.5,0.5,0.4878048780487805,0.4878048780487805,0.47619047619047616,0.47619047619047616
S43,Dynamic / Roll Test,inspection_eol,INSPECTION_EOL_TESTING,rich,55.0,55.0,55.0,55.0,102.5,1.0,102.5,35.1219512195122,0.5365853658536586,65.45454545454545,65.45454545454545,1,B43,3,B44,4,1.8636363636363635,ICE_SEDAN,55.0,0.5365853658536586,0.8719512195121952,1.0302439024390244,0.7085,0.9124359756097561,False,False,False,False,False,True,False,False,55.0,24.75,55.0,19.25,55.0,11.0,False,55.0,55.0,0.55,0.55,0.5365853658536586,0.5365853658536586,0.5238095238095238,0.5238095238095238
S44,Final Quality Inspection,inspection_eol,INSPECTION_EOL_TESTING,rich,52.0,52.0,52.0,52.0,102.5,1.0,102.5,35.1219512195122,0.5073170731707317,69.23076923076923,69.23076923076923,1,B44,4,B45,4,1.971153846153846,ICE_SEDAN,52.0,0.5073170731707317,0.8243902439024391,0.9740487804878049,0.6792317073170732,0.8831676829268292,False,False,False,False,False,False,False,False,52.0,23.400000000000002,52.0,18.2,52.0,10.4,False,52.0,52.0,0.52,0.52,0.5073170731707317,0.5073170731707317,0.49523809523809526,0.49523809523809526
S45,Release / End-of-Line QC,inspection_eol,INSPECTION_EOL_TESTING,rich,45.0,45.0,45.0,45.0,102.5,1.0,102.5,35.1219512195122,0.43902439024390244,80.0,80.0,1,B45,4,,,2.2777777777777777,ICE_SEDAN,45.0,0.43902439024390244,0.7134146341463414,0.8429268292682927,0.610939024390244,0.814875,False,False,False,False,False,False,False,False,45.0,20.25,45.0,15.749999999999998,45.0,9.0,False,45.0,45.0,0.45,0.45,0.43902439024390244,0.43902439024390244,0.42857142857142855,0.42857142857142855
