station_id,station_name,zone,station_type,sensor_maturity,baseline_cycle_time_seconds,effective_baseline_service_time_seconds,mix_weighted_service_time_seconds,weighted_workload_seconds_per_line_vehicle,nominal_line_arrival_headway_seconds,station_visit_probability,nominal_station_arrival_headway_seconds,nominal_station_arrival_rate_vehicles_per_hour,nominal_utilization_rho,service_capacity_vehicles_per_hour,line_equivalent_capacity_vehicles_per_hour,resource_capacity,inbound_buffer_ids,inbound_buffer_capacities,outbound_buffer_ids,outbound_buffer_capacities,slowdown_multiplier_to_rho_1,highest_workload_variant,highest_workload_variant_service_time_seconds,rho_at_100pct_highest_workload_variant,manual_variation_rho_at_severity_0_95_if_targeted,equipment_degradation_rho_at_severity_0_9_if_targeted,background_micro_stops_rho_at_severity_0_9_if_targeted,flow_calibrated_micro_stops_rho_at_severity_0_95_if_targeted,manual_variation_current_target,equipment_degradation_current_target,background_micro_stops_current_target,flow_calibrated_micro_stops_current_target,manual_variation_capacity_crossing_possible_current_max,equipment_degradation_capacity_crossing_possible_current_max,flow_calibrated_micro_stops_capacity_crossing_possible_current_max,vehicle_mix_capacity_crossing_possible_at_100pct_slowest,ice_sedan_service_time_seconds,ice_sedan_workload_contribution_seconds_per_line_vehicle,ice_suv_service_time_seconds,ice_suv_workload_contribution_seconds_per_line_vehicle,ev_service_time_seconds,ev_workload_contribution_seconds_per_line_vehicle
S11,Body Finishing / Manual Inspection,body_joining,MANUAL_ASSEMBLY,poor,65.0,65.0,65.0,65.0,115.0,1.0,115.0,31.304347826086957,0.5652173913043478,55.38461538461539,55.38461538461539,1,B10,4,B11,5,1.7692307692307694,ICE_SEDAN,65.0,0.5652173913043478,0.9184782608695652,1.0852173913043477,0.7184456521739131,0.9002146739130434,True,False,False,False,False,True,False,False,65.0,29.25,65.0,22.75,65.0,13.0
S12,Body-Out Dimensional Check,body_joining,DIMENSIONAL_INSPECTION,rich,25.0,25.0,25.0,25.0,115.0,1.0,115.0,31.304347826086957,0.21739130434782608,144.0,144.0,1,B11,5,B12,5,4.6000000000000005,ICE_SEDAN,25.0,0.21739130434782608,0.3532608695652174,0.41739130434782606,0.3706195652173913,0.5523885869565217,False,False,False,False,False,False,False,False,25.0,11.25,25.0,8.75,25.0,5.0
S13,Pretreatment,paint_surface,PAINT_COATING,rich,40.0,40.0,40.0,40.0,115.0,1.0,115.0,31.304347826086957,0.34782608695652173,90.0,90.0,1,B12,5,B13,4,2.875,ICE_SEDAN,40.0,0.34782608695652173,0.5652173913043478,0.6678260869565217,0.5010543478260869,0.6828233695652174,False,False,False,False,False,False,False,False,40.0,18.0,40.0,14.0,40.0,8.0
S14,E-Coat Application,paint_surface,PAINT_COATING,rich,55.0,55.0,55.0,55.0,115.0,1.0,115.0,31.304347826086957,0.4782608695652174,65.45454545454545,65.45454545454545,1,B13,4,B14,5,2.090909090909091,ICE_SEDAN,55.0,0.4782608695652174,0.7771739130434783,0.9182608695652174,0.6314891304347826,0.8132581521739131,False,False,False,False,False,False,False,False,55.0,24.75,55.0,19.25,55.0,11.0
S15,E-Coat Cure,paint_surface,CURING_ENVIRONMENTAL,rich,62.0,62.0,62.0,62.0,115.0,1.0,115.0,31.304347826086957,0.5391304347826087,58.064516129032256,58.064516129032256,1,B14,5,B15,5,1.8548387096774193,ICE_SEDAN,62.0,0.5391304347826087,0.8760869565217391,1.0351304347826087,0.6923586956521739,0.8741277173913043,False,False,False,False,False,True,False,False,62.0,27.900000000000002,62.0,21.7,62.0,12.4
S16,Sealer Application,paint_surface,ADHESIVE_SEALING,partial,34.0,34.0,34.0,34.0,115.0,1.0,115.0,31.304347826086957,0.2956521739130435,105.88235294117646,105.88235294117646,1,B15,5,B16,4,3.3823529411764706,ICE_SEDAN,34.0,0.2956521739130435,0.48043478260869565,0.5676521739130435,0.44888043478260875,0.6306494565217391,False,False,False,False,False,False,False,False,34.0,15.3,34.0,11.899999999999999,34.0,6.800000000000001
S17,Primer Application,paint_surface,PAINT_COATING,rich,46.0,46.0,46.483,46.483,115.0,1.0,115.0,31.304347826086957,0.40419999999999995,77.4476690402943,77.4476690402943,1,B16,4,B17,4,2.4740227610094014,ICE_SUV,47.38,0.41200000000000003,0.6568249999999999,0.7760639999999999,0.5574282608695652,0.7391972826086955,False,False,False,False,False,False,False,False,46.0,20.7,47.38,16.583,46.0,9.200000000000001
S18,Base / Colour Coat,paint_surface,PAINT_COATING,rich,50.0,50.0,50.525,50.525,115.0,1.0,115.0,31.304347826086957,0.4393478260869565,71.25185551707077,71.25185551707077,1,B17,4,B18,4,2.276100940128649,ICE_SUV,51.5,0.44782608695652176,0.7139402173913043,0.8435478260869564,0.5925760869565216,0.7743451086956521,False,False,False,False,False,False,False,False,50.0,22.5,51.5,18.025,50.0,10.0
S19,Clear Coat,paint_surface,PAINT_COATING,rich,48.0,48.0,48.504000000000005,48.504000000000005,115.0,1.0,115.0,31.304347826086957,0.4217739130434783,74.22068283028203,74.22068283028203,1,B18,4,B19,4,2.3709384793006762,ICE_SUV,49.44,0.42991304347826087,0.6853826086956522,0.8098059130434783,0.5750021739130435,0.7567711956521738,False,False,False,False,False,False,False,False,48.0,21.6,49.44,17.304,48.0,9.600000000000001
S20,Paint Cure + Paint Inspection,paint_surface,CURING_ENVIRONMENTAL,rich,66.0,66.0,66.0,66.0,115.0,1.0,115.0,31.304347826086957,0.5739130434782609,54.54545454545455,54.54545454545455,1,B19,4,B20,5,1.7424242424242424,ICE_SEDAN,66.0,0.5739130434782609,0.932608695652174,1.101913043478261,0.7271413043478261,0.9089103260869565,False,False,False,False,False,True,False,False,66.0,29.7,66.0,23.099999999999998,66.0,13.200000000000001
S21,Trim Preparation,final_assembly,MANUAL_ASSEMBLY,poor,70.0,70.0,70.0,70.0,115.0,1.0,115.0,31.304347826086957,0.6086956521739131,51.42857142857143,51.42857142857143,1,B20,5,B21,4,1.6428571428571428,ICE_SEDAN,70.0,0.6086956521739131,0.9891304347826088,1.1686956521739131,0.7619239130434783,0.9436929347826087,True,False,False,False,False,True,False,False,70.0,31.5,70.0,24.5,70.0,14.0
S22,Wiring Harness Installation,final_assembly,MANUAL_ASSEMBLY,poor,88.0,88.0,90.64,90.64,115.0,1.0,115.0,31.304347826086957,0.7881739130434783,39.717563989408646,39.717563989408646,1,B21,4,B22,4,1.2687555163283317,EV,101.19999999999999,0.8799999999999999,1.2807826086956522,1.5132939130434782,0.9414021739130435,1.1231711956521737,True,False,False,False,True,True,True,False,88.0,39.6,88.0,30.799999999999997,101.19999999999999,20.24
S23,Instrument Panel Installation,final_assembly,ROBOTIC_HANDLING_ASSEMBLY,rich,40.0,40.0,40.0,40.0,115.0,1.0,115.0,31.304347826086957,0.34782608695652173,90.0,90.0,1,B22,4,B23,4,2.875,ICE_SEDAN,40.0,0.34782608695652173,0.5652173913043478,0.6678260869565217,0.5010543478260869,0.6828233695652174,False,False,True,False,False,False,False,False,40.0,18.0,40.0,14.0,40.0,8.0
S24,HVAC / Interior Module Installation,final_assembly,MANUAL_ASSEMBLY,poor,75.0,75.0,75.0,75.0,115.0,1.0,115.0,31.304347826086957,0.6521739130434783,48.0,48.0,1,B23,4,B24,4,1.5333333333333332,ICE_SEDAN,75.0,0.6521739130434783,1.059782608695652,1.2521739130434781,0.8054021739130435,0.9871711956521739,True,False,False,False,True,True,False,False,75.0,33.75,75.0,26.25,75.0,15.0
S25,Glass Installation / Sealing,final_assembly,ADHESIVE_SEALING,partial,36.0,36.0,36.0,36.0,115.0,1.0,115.0,31.304347826086957,0.3130434782608696,100.0,100.0,1,B24,4,B25,4,3.194444444444444,ICE_SEDAN,36.0,0.3130434782608696,0.5086956521739131,0.6010434782608696,0.4662717391304348,0.6480407608695652,False,False,False,False,False,False,False,False,36.0,16.2,36.0,12.6,36.0,7.2
S26,Powertrain / Battery Pack Marriage,final_assembly,ROBOTIC_HANDLING_ASSEMBLY,rich,72.0,72.0,77.39999999999999,77.39999999999999,115.0,1.0,115.0,31.304347826086957,0.6730434782608695,46.51162790697675,46.51162790697675,1,B25,4,B26,5,1.4857881136950906,EV,86.39999999999999,0.7513043478260869,1.093695652173913,1.2922434782608694,0.8262717391304347,1.008040760869565,False,True,True,True,True,True,True,False,72.0,32.4,79.2,27.72,86.39999999999999,17.279999999999998
S27,Powertrain / Battery Pack Mounting Fastening,final_assembly,TORQUE_FASTENING,rich,22.0,22.0,22.385,22.385,115.0,1.0,115.0,31.304347826086957,0.19465217391304349,160.82197900379717,160.82197900379717,1,B26,5,B27,4,5.13736877373241,ICE_SUV,23.1,0.20086956521739133,0.3163097826086957,0.3737321739130435,0.3478804347826087,0.529649456521739,False,True,False,False,False,False,False,False,22.0,9.9,23.1,8.085,22.0,4.4
S28,Suspension / Chassis Fastening,final_assembly,TORQUE_FASTENING,rich,26.0,26.0,26.455000000000002,26.455000000000002,115.0,1.0,115.0,31.304347826086957,0.23004347826086957,136.08013608013607,136.08013608013607,1,B27,4,B28,4,4.347004347004347,ICE_SUV,27.3,0.2373913043478261,0.373820652173913,0.44168347826086957,0.3832717391304348,0.5650407608695652,False,True,False,False,False,False,False,False,26.0,11.700000000000001,27.3,9.555,26.0,5.2
S29,Seat Installation,final_assembly,MANUAL_ASSEMBLY,partial,55.0,55.0,55.0,55.0,115.0,1.0,115.0,31.304347826086957,0.4782608695652174,65.45454545454545,65.45454545454545,1,B28,4,B29,4,2.090909090909091,ICE_SEDAN,55.0,0.4782608695652174,0.7771739130434783,0.9182608695652174,0.6314891304347826,0.8132581521739131,False,False,False,False,False,False,False,False,55.0,24.75,55.0,19.25,55.0,11.0
S30,Seat Torque Verification,final_assembly,TORQUE_FASTENING,partial,18.0,18.0,18.315,18.315,115.0,1.0,115.0,31.304347826086957,0.1592608695652174,196.56019656019654,196.56019656019654,1,B29,4,B30,4,6.279006279006278,ICE_SUV,18.900000000000002,0.16434782608695653,0.2587989130434783,0.3057808695652174,0.3124891304347826,0.494258152173913,False,False,False,False,False,False,False,False,18.0,8.1,18.900000000000002,6.615,18.0,3.6
S31,Wheel Installation,final_assembly,ROBOTIC_HANDLING_ASSEMBLY,rich,20.0,20.0,20.0,20.0,115.0,1.0,115.0,31.304347826086957,0.17391304347826086,180.0,180.0,1,B30,4,B31,4,5.75,ICE_SEDAN,20.0,0.17391304347826086,0.2826086956521739,0.33391304347826084,0.3271413043478261,0.5089103260869564,False,False,True,False,False,False,False,False,20.0,9.0,20.0,7.0,20.0,4.0
S32,Wheel Torque,final_assembly,TORQUE_FASTENING,partial,16.0,16.0,16.28,16.28,115.0,1.0,115.0,31.304347826086957,0.14156521739130437,221.13022113022112,221.13022113022112,1,B31,4,B32,4,7.063882063882063,ICE_SUV,16.8,0.14608695652173914,0.2300434782608696,0.27180521739130437,0.2947934782608696,0.47656249999999994,False,False,False,False,False,False,False,False,16.0,7.2,16.8,5.88,16.0,3.2
S33,Door / Closure Finishing,final_assembly,MANUAL_ASSEMBLY,poor,58.0,58.0,58.0,58.0,115.0,1.0,115.0,31.304347826086957,0.5043478260869565,62.06896551724138,62.06896551724138,1,B32,4,B33,4,1.9827586206896552,ICE_SEDAN,58.0,0.5043478260869565,0.8195652173913043,0.9683478260869565,0.6575760869565218,0.8393451086956522,True,False,False,False,False,False,False,False,58.0,26.1,58.0,20.299999999999997,58.0,11.600000000000001
S34,Electrical Connection / System Check,final_assembly,MANUAL_ASSEMBLY,partial,68.0,68.0,68.0,68.0,115.0,1.0,115.0,31.304347826086957,0.591304347826087,52.94117647058823,52.94117647058823,1,B33,4,B34;B36,5;5,1.6911764705882353,ICE_SEDAN,68.0,0.591304347826087,0.9608695652173913,1.135304347826087,0.7445326086956522,0.9263016304347826,True,False,False,False,False,True,False,False,68.0,30.6,68.0,23.799999999999997,68.0,13.600000000000001
S35,Fluid-Related Process / Preparation,final_assembly,FLUID_FILL_FUNCTIONAL,partial,38.0,38.0,37.99999999999999,30.4,115.0,0.8,143.75,25.043478260869566,0.2643478260869565,94.73684210526318,118.42105263157897,1,B34,5,B35,4,3.7828947368421053,ICE_SEDAN,38.0,0.33043478260869563,0.4295652173913043,0.5075478260869565,0.3869304347826087,0.5323456521739129,False,False,False,False,False,False,False,False,38.0,17.1,38.0,13.299999999999999,,0.0
S36,Variant-Specific ICE / EV Process,final_assembly,FLUID_FILL_FUNCTIONAL,rich,42.0,42.0,43.995000000000005,43.995000000000005,115.0,1.0,115.0,31.304347826086957,0.3825652173913044,81.82748039549948,81.82748039549948,1,B35;B36,4;5,B37,4,2.6139334015229,EV,48.3,0.42,0.6216684782608697,0.7345252173913044,0.5357934782608696,0.7175625,False,False,False,False,False,False,False,False,42.0,18.900000000000002,44.1,15.434999999999999,48.3,9.66
S37,Functional Assembly Check,final_assembly,INSPECTION_EOL_TESTING,rich,46.0,46.0,46.0,46.0,115.0,1.0,115.0,31.304347826086957,0.4,78.26086956521739,78.26086956521739,1,B37,4,B38,4,2.5,ICE_SEDAN,46.0,0.4,0.65,0.768,0.5532282608695652,0.7349972826086957,False,False,False,False,False,False,False,False,46.0,20.7,46.0,16.099999999999998,46.0,9.200000000000001
S38,Final Trim / Manual Inspection,final_assembly,MANUAL_ASSEMBLY,poor,60.0,60.0,60.0,60.0,115.0,1.0,115.0,31.304347826086957,0.5217391304347826,60.0,60.0,1,B38,4,B39,5,1.9166666666666667,ICE_SEDAN,60.0,0.5217391304347826,0.8478260869565217,1.0017391304347825,0.6749673913043479,0.8567364130434783,True,False,False,False,False,True,False,False,60.0,27.0,60.0,21.0,60.0,12.0
S39,Dimensional / Final Visual Check,inspection_eol,DIMENSIONAL_INSPECTION,rich,28.0,28.0,28.0,28.0,115.0,1.0,115.0,31.304347826086957,0.24347826086956523,128.57142857142858,128.57142857142858,1,B39,5,B40,4,4.107142857142857,ICE_SEDAN,28.0,0.24347826086956523,0.39565217391304347,0.46747826086956523,0.39670652173913046,0.5784755434782609,False,False,False,False,False,False,False,False,28.0,12.6,28.0,9.799999999999999,28.0,5.6000000000000005
S40,Electrical Diagnostics,inspection_eol,INSPECTION_EOL_TESTING,rich,40.0,40.0,40.0,40.0,115.0,1.0,115.0,31.304347826086957,0.34782608695652173,90.0,90.0,1,B40,4,B41,4,2.875,ICE_SEDAN,40.0,0.34782608695652173,0.5652173913043478,0.6678260869565217,0.5010543478260869,0.6828233695652174,False,False,False,False,False,False,False,False,40.0,18.0,40.0,14.0,40.0,8.0
S41,Leak / Pressure Test,inspection_eol,FLUID_FILL_FUNCTIONAL,partial,35.0,35.0,35.0,35.0,115.0,1.0,115.0,31.304347826086957,0.30434782608695654,102.85714285714286,102.85714285714286,1,B41,4,B42,4,3.2857142857142856,ICE_SEDAN,35.0,0.30434782608695654,0.4945652173913044,0.5843478260869566,0.45757608695652174,0.6393451086956522,False,False,False,False,False,False,False,False,35.0,15.75,35.0,12.25,35.0,7.0
S42,Functional Test,inspection_eol,INSPECTION_EOL_TESTING,rich,50.0,50.0,50.0,50.0,115.0,1.0,115.0,31.304347826086957,0.43478260869565216,72.0,72.0,1,B42,4,B43,4,2.3000000000000003,ICE_SEDAN,50.0,0.43478260869565216,0.7065217391304348,0.8347826086956521,0.5880108695652174,0.7697798913043478,False,False,False,False,False,False,False,False,50.0,22.5,50.0,17.5,50.0,10.0
S43,Dynamic / Roll Test,inspection_eol,INSPECTION_EOL_TESTING,rich,55.0,55.0,55.0,55.0,115.0,1.0,115.0,31.304347826086957,0.4782608695652174,65.45454545454545,65.45454545454545,1,B43,4,B44,4,2.090909090909091,ICE_SEDAN,55.0,0.4782608695652174,0.7771739130434783,0.9182608695652174,0.6314891304347826,0.8132581521739131,False,False,False,False,False,False,False,False,55.0,24.75,55.0,19.25,55.0,11.0
S44,Final Quality Inspection,inspection_eol,INSPECTION_EOL_TESTING,rich,52.0,52.0,52.0,52.0,115.0,1.0,115.0,31.304347826086957,0.45217391304347826,69.23076923076923,69.23076923076923,1,B44,4,B45,4,2.2115384615384617,ICE_SEDAN,52.0,0.45217391304347826,0.7347826086956522,0.8681739130434782,0.6054021739130435,0.7871711956521739,False,False,False,False,False,False,False,False,52.0,23.400000000000002,52.0,18.2,52.0,10.4
S45,Release / End-of-Line QC,inspection_eol,INSPECTION_EOL_TESTING,rich,45.0,45.0,45.0,45.0,115.0,1.0,115.0,31.304347826086957,0.391304347826087,80.0,80.0,1,B45,4,,,2.5555555555555554,ICE_SEDAN,45.0,0.391304347826087,0.6358695652173914,0.751304347826087,0.5445326086956522,0.7263016304347826,False,False,False,False,False,False,False,False,45.0,20.25,45.0,15.749999999999998,45.0,9.0
