record_type,dimension,key_1,key_2,run_count,positive_run_count,positive_rate,targeted_run_count,direct_target_positive_run_count,empirical_impact_positive_run_count,analytic_status,empirical_status,analytic_positive_mechanisms,empirical_positive_mechanisms,empirical_positive_severities,empirical_positive_profiles,median_time_to_impact_seconds,median_congestion_duration_seconds,positive_count,occupancy_min,occupancy_p25,occupancy_median,occupancy_p75,occupancy_p90,occupancy_max,minimum_peak_capacity_headroom_fraction,maximum_sustained_arrival_service_deficit_vehicles_per_hour,at_least_50_count,at_least_75_count,at_least_90_count,recovering_preimpact_hard_negative_count,recovering_preimpact_hard_negative_fraction
station_mechanism,station_x_mechanism,S34,MANUAL_VARIATION,27,4,0.14814814814814814,,,,,,,,,,,,,,,,,,,,,,,,,
station_mechanism,station_x_mechanism,S34,MICRO_STOPS,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
station_review,station,S11,,,,,27,7,17,ANALYTIC_POSITIVE_CAPABLE,EMPIRICALLY_POSITIVE,ARRIVAL_BURST;MANUAL_VARIATION,ARRIVAL_BURST;MANUAL_VARIATION,SEVERE,GRADUAL;RAMP_BURST;RECOVERING;STEP;STEP_BURST,1832.4418860968854,928.9182342201148,,,,,,,,,,,,,,
station_review,station,S20,,,,,27,8,8,ANALYTIC_POSITIVE_CAPABLE,EMPIRICALLY_POSITIVE,ARRIVAL_BURST;MICRO_STOPS,MICRO_STOPS,SEVERE,GRADUAL;RECOVERING;STEP,2496.4554396554395,275.1022954336495,,,,,,,,,,,,,,
station_review,station,S21,,,,,27,1,1,ANALYTIC_POSITIVE_CAPABLE,EMPIRICALLY_POSITIVE,ARRIVAL_BURST;MANUAL_VARIATION,MANUAL_VARIATION,SEVERE,STEP,3562.3621185506527,87.33898813910128,,,,,,,,,,,,,,
station_review,station,S22,,,,,0,0,3,ANALYTIC_POSITIVE_CAPABLE,EMPIRICALLY_POSITIVE,ARRIVAL_BURST;MANUAL_VARIATION,ARRIVAL_BURST,MODERATE,RAMP_BURST;STEP_BURST,2589.998572581935,135.45249451032396,,,,,,,,,,,,,,
station_review,station,S24,,,,,27,5,5,ANALYTIC_POSITIVE_CAPABLE,EMPIRICALLY_POSITIVE,ARRIVAL_BURST;MANUAL_VARIATION,MANUAL_VARIATION,MODERATE;SEVERE,GRADUAL;RECOVERING;STEP,1795.1650406472745,161.51808581391197,,,,,,,,,,,,,,
station_review,station,S26,,,,,27,6,6,ANALYTIC_POSITIVE_CAPABLE,EMPIRICALLY_POSITIVE,ARRIVAL_BURST;MICRO_STOPS,MICRO_STOPS,SEVERE,GRADUAL;RECOVERING;STEP,2542.1890727079744,641.0486010603436,,,,,,,,,,,,,,
station_review,station,S34,,,,,27,4,4,ANALYTIC_POSITIVE_CAPABLE,EMPIRICALLY_POSITIVE,ARRIVAL_BURST;MANUAL_VARIATION,MANUAL_VARIATION,SEVERE,RECOVERING;STEP,1492.2298869802135,160.30203016302676,,,,,,,,,,,,,,
moderate_threshold,moderate_max_occupancy,>=0.50,,73,46,0.6301369863013698,,,,,,,,,,,,,,,,,,,,,,,,,
moderate_threshold,moderate_max_occupancy,>=0.75,,73,16,0.2191780821917808,,,,,,,,,,,,,,,,,,,,,,,,,
moderate_threshold,moderate_max_occupancy,>=0.90,,73,10,0.136986301369863,,,,,,,,,,,,,,,,,,,,,,,,,
moderate_summary,moderate,all,,73,,,,,,,,,,,,,,4,0.2,0.3333333333333333,0.5,0.6666666666666666,1.0,1.0,-0.17905691056910578,7.111704303274287,46,16,10,42,0.5753424657534246
